503310,SWAN ENERGY LTD.,Textiles
503349,VICTORIA MILLS LTD.,Textiles
503622,S.V.TRADING & AGENCIES LTD.,Other Financial Services
503624,SVARAJ TRADING & AGENCIES LTD.,Other Financial Services
503635,SHREE SALASAR INVESTMENT LTD.,Other Financial Services
503639,INDSOYA LTD.,Misc.Commercial Services
503641,Zodiac Ventures Limited,Consulting Services
503657,VEER ENERGY & INFRASTRUCTURE LTD.,Electric Utilities
503659,SW Investments Ltd,Misc.Commercial Services
503663,Tilak Ventures Ltd,Investment Companies
503669,K K Fincorp Limited,Misc.Commercial Services
503671,UNIJOLLY INVESTMENTS CO.LTD.,Other Financial Services
503675,Wagend Infra Venture Limited,Misc.Commercial Services
503681,ELCID INVESTMENTS LTD.,Misc.Commercial Services
503689,HEALTHY INVESTMENTS LTD.,Misc.Commercial Services
503691,SAHARA ONE MEDIA & ENTERTAINMENT LTD.-$,Broadcasting & Cable TV
503696,SHREENATH INVESTMENTS CO.LTD.,Misc.Commercial Services
503722,BANSWARA SYNTEX LTD.-$,Textiles
503772,MODELLA WOOLLENS LTD.,Comm.Trading  & Distribution
503776,MODIPON LTD.,Agrochemicals
503804,SHRI DINESH MILLS LTD.-$,Textiles
503806,SRF LTD.,Diversified
503811,SIYARAM SILK MILLS LTD.-$,Textiles
503816,SWADESHI POLYTEX LTD.,Textiles
503837,SHREE RAJASTHAN SYNTEX LTD.-$,Textiles
503863,SHREE MANUFACTURING CO.LTD.,Textiles
503893,SATYAM SILK MILLS LTD.,Other Financial Services
503960,BHARAT BIJLEE LTD.-$,Other Elect.Equip./ Prod.
504000,ELPRO INTERNATIONAL LTD.,Other Elect.Equip./ Prod.
504008,EMCO LTD.-$,Heavy Electrical Equipment
504028,GEE LTD.,Other Industrial Goods
504036,HIND RECTIFIERS LTD.,Electronic Components
504058,INDO-NATIONAL LTD.,Non-Durable Household Prod.
504067,ZENSAR TECHNOLOGIES LTD.,IT Consulting & Software
504076,JYOTI LTD.-$,Heavy Electrical Equipment
504080,JSL INDUSTRIES LTD.,Other Elect.Equip./ Prod.
504084,KAYCEE INDUSTRIES LTD.,Other Elect.Equip./ Prod.
504092,INDOKEM LTD.,Specialty Chemicals
504093,PANASONIC ENERGY INDIA COMPANY LTD.-$,Non-Durable Household Prod.
504112,NELCO LTD.,IT Networking Equipment
504132,PERMANENT MAGNETS LTD.-$,Other Industrial Goods
504176,HIGH ENERGY BATTERIES (INDIA) LTD.,Non-Durable Household Prod.
504180,STANDARD BATTERIES LTD.,Finance (including NBFCs)
504212,UNIVERSAL CABLES LTD.,Other Elect.Equip./ Prod.
504220,W.S.INDUSTRIES (INDIA) LTD.-$,Industrial Machinery
504240,DELTON CABLES LTD.,Other Elect.Equip./ Prod.
504258,LAKSHMI ELECTRICAL CONTROL SYSTEMS LTD.,Other Elect.Equip./ Prod.
504273,Modulex Construction Technologies Ltd,Construction & Engineering
504286,Delta Manufacturing Ltd,Other Elect.Equip./ Prod.
504335,Pazel International Ltd,Comm.Trading  & Distribution
504340,Confidence Finance And Trading Limited,Other Financial Services
504341,Ravindra Energy Ltd,Other Financial Services
504346,G.D.TRADING & AGENCIES LTD.,Other Financial Services
504356,MULTIPURPOSE TRADING & AGENCIES LTD.,Misc.Commercial Services
504360,REMI SALES & ENGINEERING LTD.,Comm.Trading  & Distribution
504365,RIDHI SYNTHETICS LTD.,Other Financial Services
504375,SOFTBPO GLOBAL SERVICES LTD.,IT Consulting & Software
504378,Nyssa Corporation Limited,Comm.Trading  & Distribution
504380,Flomic Global Logistics Ltd,Comm.Trading  & Distribution
504392,Krishna Ventures Limited,Other Financial Services
504397,GANESH HOLDINGS LTD.,Misc.Commercial Services
504398,SJ CORPORATION LTD.,Other Apparels & Accessories
504605,UNI ABEX ALLOY PRODUCTS LTD.,Iron & Steel Products
504614,SARDA ENERGY & MINERALS LTD.-$,Iron & Steel/Interm.Products
504646,BHAGWATI AUTOCAST LTD.,Auto Parts & Equipment
504648,BOMBAY WIRE ROPES LTD.,Iron & Steel Products
504673,UNIVERSAL PRIME ALUMINIUM LTD.,Aluminium
504697,GALADA POWER & TELECOMMUNICATION LTD.,Other Elect.Equip./ Prod.
504717,STEEL STRIPS LTD.,Iron & Steel/Interm.Products
504731,INDIAN BRIGHT STEEL CO.LTD.,Iron & Steel/Interm.Products
504741,INDIAN HUME PIPE CO.LTD.,Cement & Cement Products
504746,INDIAN LINK CHAIN MANUFACTURES LTD.,Other Industrial Products
504786,INVESTMENT & PRECISION CASTINGS LTD.,Other Industrial Products
504810,INFORMED TECHNOLOGIES INDIA LTD.,BPO/KPO
504840,KAIRA CAN CO.LTD.,Containers & Packaging
504879,ORIENT ABRASIVES LTD.-$,Other Industrial Products
504882,NATIONAL STANDARD (INDIA) LTD.,Realty
504908,Duncan Engineering Ltd-$,Auto Parts & Equipment
504918,SANDUR MANGANESE & IRON ORES LTD.,Mining
504959,STOVEC INDUSTRIES LTD.,Industrial Machinery
504961,TAYO ROLLS LTD.-$,Iron & Steel/Interm.Products
504966,TINPLATE COMPANY OF INDIA LTD.,Containers & Packaging
504973,Cholamandalam Financial Holdings Ltd,Holding Companies
504988,WELCAST STEELS LTD.,Other Industrial Products
504998,WESTERN MINISTIL LTD.,Iron & Steel/Interm.Products
505010,AUTOMOTIVE AXLES LTD.,Auto Parts & Equipment
505036,AUTOMOBILE CORPORATION OF GOA LTD.-$,Auto Parts & Equipment
505075,SETCO AUTOMOTIVE LTD.,Auto Parts & Equipment
505141,SCOOTERS INDIA LTD.,2/3 Wheelers
505160,TALBROS AUTOMOTIVE COMPONENTS LTD.,Auto Parts & Equipment
505163,Z.F.STEERING GEAR (INDIA) LTD.-$,Auto Parts & Equipment
505192,SML ISUZU LIMITED,Commercial Vehicles
505196,TIL LTD.,Transport Related Services
505200,EICHER MOTORS LTD.,2/3 Wheelers
505212,JAINEX AAMCOL LTD.,Auto Parts & Equipment
505216,ALFRED HERBERT (INDIA) LTD.,Finance (including NBFCs)
505232,Veljan Denison Limited,Auto Parts & Equipment
505242,DYNAMATIC TECHNOLOGIES LTD.-$,Industrial Machinery
505250,G.G.DANDEKAR MACHINE WORKS LTD.,Industrial Machinery
505255,GMM PFAUDLER LTD.,Industrial Machinery
505283,KIRLOSKAR PNEUMATIC CO.LTD.,Industrial Machinery
505285,Tulive Developers Limited,Other Industrial Goods
505299,KPT Industries Ltd,Industrial Machinery
505302,LAKSHMI AUTOMATIC LOOM WORKS LTD.,Industrial Machinery
505320,LYNX MACHINERY & COMMERCIALS LTD.,Industrial Machinery
505324,MANUGRAPH INDIA LTD.-$,Industrial Machinery
505336,Mirch Technologies (India) Ltd,Industrial Machinery
505355,NESCO LTD.,Misc.Commercial Services
505358,INTEGRA ENGINEERING INDIA LTD.,Industrial Machinery
505368,REVATHI EQUIPMENT LTD.-$,Industrial Machinery
505400,TEXMACO INFRASTRUCTURE & HOLDINGS LTD.,Realty
505412,WENDT (INDIA) LTD.,Industrial Machinery
505504,SINDU VALLEY TECHNOLOGIES LTD.,IT Consulting & Software
505509,RESPONSIVE INDUSTRIES LTD.,Furniture-Furnishing-Paints
505515,SHYAMKAMAL INVESTMENTS LTD.,Other Financial Services
505523,MAHARASHTRA CORPORATION LTD.,Comm.Trading  & Distribution
505526,DOLAT INVESTMENTS LTD.,Other Financial Services
